Identifier,Title,Date,Date type,Date of Birth,Note,Type,File,Age,Value,Estimated Value,Relationship,Identifier,Relationship,Identifier,Location,SJ,Identifier,SJ,Identifier,Source,
1024,Margaret,1762-11-02,baptism,,,sacramental record,,,,,child of Jenny,1056,child of Dick,1052,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1025,Harry,1764-08-06,baptism,,,sacramental record,,,,,child of Jenny,1054,child of Jos',1055,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1026,Lucy,1765-06-02,baptism,,strike [dead],sacramental record,,,,,child of Ceasar,1050,child of Dina,1051,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1027,Jeremiah,1765-09-16,baptism,,strike [dead],sacramental record,,,,,child of Jenny,1054,child of Jos',1055,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1028,Monica,1765-09-25,baptism,,,sacramental record,,,,,child of Henny,1057,child of Billy,1058,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1029,John,1766-10,baptism,,strike [dead],sacramental record,,,,,child of Pegg,1063,child of Harry,1068,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1030,Clara,1767-08-26,baptism,,strike [dead],sacramental record,,,,,,,,,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1031,Billy,1767-10-12,baptism,,,sacramental record,,,,,child of Henny,1057,child of Billy,1058,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1032,Henry,1768-03-25,baptism,,,sacramental record,,,,,child of Dina,1051,child of James,1069,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1033,Ignatius,1770-08-07,baptism,,,sacramental record,,,,,child of Henny,1057,child of Billy,1058,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1034,Edward,1773-04-05,baptism,,,sacramental record,,,,,child of Dina,1051,child of James Locus,1069,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1035,Theresa,1773-09-30,baptism,,strike [dead],sacramental record,,,,,child of Kate,1061,child of Sam,1062,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1036,Charles,1773-10-05,baptism,,,sacramental record,,,,,child of Henny,1057,child of Billy,1058,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1037,Joseph,1775-01-05,baptism,,strike [dead],sacramental record,,,,,child of Henny,1057,child of Billy,1058,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1038,Mary Ann,1775-05-11,baptism,,,sacramental record,,,,,child of Kate,1061,child of Sam,1062,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1039,Jane,1776-12-24,baptism,,,sacramental record,,,,,child of Henny ,1057,,,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1040,Jacob,1776-12-27,baptism,,,sacramental record,,,,,child of Pegg ,1063,,,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1041,Thomas,1777-03-15,baptism,,question about the year,sacramental record,,,,,child of Nell,1064,child of Mahoney,1065,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1042,Leonard,1777-05-04,baptism,,strike [dead],sacramental record,,,,,child of Nell Henny's daughter,1073,,,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1043,Isaac,1777-09-25,baptism,,,sacramental record,,,,,child of Kate,1061,child of Sam,1062,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1044,Charity,1778-01-22,baptism,,year questionable,sacramental record,,,,,child of Nan,1066,child of Bob,1067,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1045,Daniel,1778-01-29,baptism,,strike [dead] year questionable,sacramental record,,,,,child of Nell,1064,child of Mahoney,1065,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1046,Alexius,1778-03-02,baptism,,In the service of ArchB. Carroll in 1797 (in Corp Proceedings and in St. Thomas Account Book) – year questionable,sacramental record,,,,,child of Henny,1057,child of Billy,1058,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,knows of John Carroll,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1050,Ceasar,1749-1753,parenthood,,,sacramental record,,,,,spouse of ,1051,parent of Charity,1001,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1050,Ceasar,1749-1753,parenthood,,,sacramental record,,,,,spouse of ,1051,parent of Winnifred,1003,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1050,Ceasar,1756-11-29,parenthood,,,sacramental record,,,,,spouse of ,1051,parent of Mary,1017,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1050,Ceasar,1759-10-29,parenthood,,,sacramental record,,,,,spouse of ,1051,parent of Dina,1010,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1050,Ceasar,1763-03-11,parenthood,,,sacramental record,,,,,spouse of ,1051,parent of Statia,1018,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1050,Ceasar,1765-06-02,parenthood,,,sacramental record,,,,,spouse of ,1051,parent of Lucy,1026,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1051,Dina,1749-1753,parenthood,,,sacramental record,,,,,spouse of ,1050,parent of Charity,1001,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1051,Dina,1749-1753,parenthood,,,sacramental record,,,,,spouse of ,1050,parent of Winnifred,1003,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1051,Dina,1756-11-29,parenthood,,,sacramental record,,,,,spouse of ,1050,parent of Mary,1017,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1051,Dina,1759-10-29,parenthood,,,sacramental record,,,,,spouse of ,1050,parent of Dina,1010,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1051,Dina,1763-03-11,parenthood,,,sacramental record,,,,,spouse of ,1050,parent of Statia,1018,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1051,Dina,1765-06-02,parenthood,,,sacramental record,,,,,spouse of ,1050,parent of Lucy,1026,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1052,Dick ,1755,parenthood,,assumed remarried to Jenny,sacramental record,,,,,spouse of ,1056,parent of George,1016,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1052,Dick ,1749-1753,parenthood,,assumed remarried to Jenny,sacramental record,,,,,spouse of ,1053,parent of Ignatius,1002,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1052,Dick ,1755-06-15,parenthood,,assumed remarried to Jenny,sacramental record,,,,,spouse of ,1056,parent of Robert,1007,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1052,Dick ,1756-02,parenthood,,assumed remarried to Jenny,sacramental record,,,,,spouse of ,1056,parent of Bob,1009,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1052,Dick ,1761-04-19,parenthood,,assumed remarried to Jenny,sacramental record,,,,,spouse of ,1056,parent of Benjamin,1019,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1052,Dick ,1762-11-02,parenthood,,assumed remarried to Jenny,sacramental record,,,,,spouse of ,1056,parent of Margaret,1024,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1053,Mary,1749-1753,parenthood,,dead,sacramental record,,,,,spouse of ,1052,parent of Ignatius,1002,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1053,Mary,1749-1753,parenthood,,dead,sacramental record,,,,,spouse of ,1052,parent of Mary,1053,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1054,Jenny,1755-02-22,parenthood,,,sacramental record,,,,,spouse of ,1055,parent of John ,1005,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1054,Jenny,1759-05,parenthood,,,sacramental record,,,,,spouse of ,1055,parent of Peter,1011,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1054,Jenny,1759-05,parenthood,,,sacramental record,,,,,spouse of ,1055,parent of Sarah,1012,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1054,Jenny,1761-04-05,parenthood,,,sacramental record,,,,,spouse of ,1055,parent of Catherine,1020,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1054,Jenny,1764-08-06,parenthood,,,sacramental record,,,,,spouse of ,1055,parent of Harry,1025,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1054,Jenny,1765-09-16,parenthood,,,sacramental record,,,,,spouse of ,1055,parent of Jeremiah,1027,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1055,Jos' ,1755-02-22,parenthood,,,sacramental record,,,,,spouse of ,1054,parent of John ,1005,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1055,Jos' ,1759-05,parenthood,,,sacramental record,,,,,spouse of ,1054,parent of Peter,1011,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1055,Jos' ,1759-05,parenthood,,,sacramental record,,,,,spouse of ,1054,parent of Sarah,1012,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1055,Jos' ,1761-04-05,parenthood,,,sacramental record,,,,,spouse of ,1054,parent of Catherine,1020,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1055,Jos' ,1764-08-06,parenthood,,,sacramental record,,,,,spouse of ,1054,parent of Harry,1025,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1055,Jos' ,1765-09-16,parenthood,,,sacramental record,,,,,spouse of ,1054,parent of Jeremiah,1027,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1056,Jenny,1755,parenthood,,,sacramental record,,,,,spouse of ,1052,parent of George,1016,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1056,Jenny,1755-06-15,parenthood,,,sacramental record,,,,,spouse of ,1052,parent of Robert,1007,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1056,Jenny,1756-02,parenthood,,,sacramental record,,,,,spouse of ,1052,parent of Bob,1009,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1056,Jenny,1761-04-19,parenthood,,,sacramental record,,,,,spouse of ,1052,parent of Benjamin,1019,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1056,Jenny,1762-11-02,parenthood,,,sacramental record,,,,,spouse of ,1052,parent of Margaret,1024,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1057,Henny,1778-03-02,parenthood,,,sacramental record,,,,,spouse of ,1058,parent of Alexius,1046,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1057,Henny,1754,parenthood,,,sacramental record,,,,,spouse of ,1058,parent of Eleanor,1015,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1057,Henny,1759-12-20,parenthood,,,sacramental record,,,,,spouse of ,1058,parent of Eleanor,1014,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1057,Henny,1759-12-27,parenthood,,,sacramental record,,,,,spouse of ,1058,parent of Nell,1021,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1057,Henny,1762-09-10,parenthood,,,sacramental record,,,,,spouse of ,1058,parent of Elizabeth,1023,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1057,Henny,1765-09-25,parenthood,,,sacramental record,,,,,spouse of ,1058,parent of Monica,1028,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1057,Henny,1767-10-12,parenthood,,,sacramental record,,,,,spouse of ,1058,parent of Billy,1031,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1057,Henny,1770-08-07,parenthood,,,sacramental record,,,,,spouse of ,1058,parent of Ignatius,1033,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1057,Henny,1773-10-05,parenthood,,,sacramental record,,,,,spouse of ,1058,parent of Charles,1036,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1057,Henny,1775-01-05,parenthood,,,sacramental record,,,,,spouse of ,1058,parent of Joseph,1037,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1057,Henny,1776-12-24,parenthood,,,sacramental record,,,,,spouse of ,1058,parent of Jane,1039,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1058,Billy,1778-03-02,parenthood,,,sacramental record,,,,,spouse of ,1057,parent of Alexius,1046,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1058,Billy,1754,parenthood,,,sacramental record,,,,,spouse of ,1057,parent of Eleanor,1015,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1058,Billy,1759-12-20,parenthood,,,sacramental record,,,,,spouse of ,1057,parent of Eleanor,1014,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1058,Billy,1759-12-27,parenthood,,,sacramental record,,,,,spouse of ,1057,parent of Nell,1021,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1058,Billy,1762-09-10,parenthood,,,sacramental record,,,,,spouse of ,1057,parent of Elizabeth,1023,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1058,Billy,1765-09-25,parenthood,,,sacramental record,,,,,spouse of ,1057,parent of Monica,1028,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1058,Billy,1767-10-12,parenthood,,,sacramental record,,,,,spouse of ,1057,parent of Billy,1031,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1058,Billy,1770-08-07,parenthood,,,sacramental record,,,,,spouse of ,1057,parent of Ignatius,1033,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1058,Billy,1773-10-05,parenthood,,,sacramental record,,,,,spouse of ,1057,parent of Charles,1036,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1058,Billy,1775-01-05,parenthood,,,sacramental record,,,,,spouse of ,1057,parent of Joseph,1037,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1059,Sue,1755-02-17,parenthood,,,sacramental record,,,,,spouse of ,1060,parent of Sarah,1006,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1059,Sue,1758-02,parenthood,,,sacramental record,,,,,spouse of ,1060,parent of Margaret,1013,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1060,Robin,1755-02-17,parenthood,,,sacramental record,,,,,spouse of ,1059,parent of Sarah,1006,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1060,Robin,1758-02,parenthood,,,sacramental record,,,,,spouse of ,1059,parent of Margaret,1013,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1061,Kate,1773-09-30,parenthood,,,sacramental record,,,,,spouse of ,1062,parent of Theresa,1035,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1061,Kate,1775-05-11,parenthood,,,sacramental record,,,,,spouse of ,1062,parent of Mary Ann,1038,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1061,Kate,1777-09-25,parenthood,,,sacramental record,,,,,spouse of ,1062,parent of Isaac,1043,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1062,Sam,1773-09-30,parenthood,,,sacramental record,,,,,spouse of ,1061,parent of Theresa,1035,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1062,Sam,1775-05-11,parenthood,,,sacramental record,,,,,spouse of ,1061,parent of Mary Ann,1038,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1062,Sam,1777-09-25,parenthood,,,sacramental record,,,,,spouse of ,1061,parent of Isaac,1043,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1063,Pegg,1766-10,parenthood,,,sacramental record,,,,,spouse of ,1068,parent of John ,1029,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1063,Pegg,1776-12-27,parenthood,,,sacramental record,,,,,spouse of ,1068,parent of Jacob,1040,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1064,Nell,1778-01-29,parenthood,,,sacramental record,,,,,spouse of ,1055,parent of Daniel,1045,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1064,Nell,1777-03-15,parenthood,,,sacramental record,,,,,spouse of ,1055,parent of Thomas,1041,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1065,Mahoney,1778-01-29,parenthood,,,sacramental record,,,,,spouse of ,1054,parent of Daniel,1045,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1065,Mahoney,1777-03-15,parenthood,,,sacramental record,,,,,spouse of ,1054,parent of Thomas,1041,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
