Identifier,Title,Date,Date type,Date of Birth,Note,Type,File,Age,Value,Estimated Value,Relationship,Identifier,Relationship,Identifier,Location,SJ,Identifier,SJ,Identifier,Source,
2249,Basil,1818-03,clothing,,shoes made by John Dorsey,account book,,,,,knows of John Dorsey,NJ039,,,St. Inigoe's Manor,Joseph Mobberly,J030,,,MPA-44-1-StInigosRentLedger-1804-1832.json,
2249,Basil,1821-03-21,inventory,1813,,tax assessment,,8,40,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2410,Basil,1831,inventory,1823,,tax assessment,,8,40,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2411,Benedict,1831,inventory,1828,,tax assessment,,3,15,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2412,Bernard,1831,inventory,1830,,tax assessment,,1,30,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2262,Betty,1818-03,clothing,,shoes made by John Dorsey,account book,,,,,knows of John Dorsey,NJ039,,,St. Inigoe's Manor,Joseph Mobberly,J030,,,MPA-44-1-StInigosRentLedger-1804-1832.json,
2271,Betty,1818-03,clothing,,shoes made by John Dorsey,account book,,,,,knows of John Dorsey,NJ039,,,St. Inigoe's Manor,Joseph Mobberly,J030,,,MPA-44-1-StInigosRentLedger-1804-1832.json,
2413,Betty,1821-03-21,inventory,1803,,tax assessment,,18,80,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2414,Betty,1831,inventory,1806,,tax assessment,,25,80,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2415,Betty,1831,inventory,1831,,tax assessment,,2m,5,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2266,Biba,1831,inventory,1793,,tax assessment,,38,75,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/78,
2416,Biba,1821-03-21,inventory,1788,,tax assessment,,33,80,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2417,Biba,1831,inventory,1830,,tax assessment,,8m,5,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2266,Biby,1818-03,clothing,,shoes made by John Dorsey,account book,,,,,knows of John Dorsey,NJ039,,,St. Inigoe's Manor,Joseph Mobberly,J030,,,MPA-44-1-StInigosRentLedger-1804-1832.json,
2280,Big Anny,1818-03,clothing,,shoes made by John Dorsey,account book,,,,,knows of John Dorsey,NJ039,,,St. Inigoe's Manor,Joseph Mobberly,J030,,,MPA-44-1-StInigosRentLedger-1804-1832.json,
2276,Big Harry,1818-03,clothing,,shoes made by John Dorsey,account book,,,,,knows of John Dorsey,NJ039,,,St. Inigoe's Manor,Joseph Mobberly,J030,,,MPA-44-1-StInigosRentLedger-1804-1832.json,
2292,Big Nelly,1818-03,clothing,,shoes made by John Dorsey,account book,,,,,knows of John Dorsey,NJ039,,,St. Inigoe's Manor,Joseph Mobberly,J030,,,MPA-44-1-StInigosRentLedger-1804-1832.json,
2247,Bill,1817-02-06,transfer,,I send to you the list of the Nigroes who from Rd. Mr. Ashton's place (St. Thomas�۪s Manor) are to come to St. Inigoes.,letter,,19,,,property of John Ashton,J008,,,St. Inigoe's Manor,John Grassi,J029,Joseph Marshall,J045,CHMC-6-7-Grassi-Marshall-1817-02-06.json,
2247,Bill,1818-03,clothing,,shoes made by John Dorsey,account book,,,,,knows of John Dorsey,NJ039,,,St. Inigoe's Manor,Joseph Mobberly,J030,,,MPA-44-1-StInigosRentLedger-1804-1832.json,
2418,Bill,1831,inventory,1806,,tax assessment,,25,125,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/78,
2419,Bill,1831,inventory,1809,,tax assessment,,22,125,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/78,
2289,Billy,1818-03,clothing,,shoes made by John Dorsey,account book,,,,,knows of John Dorsey,NJ039,,,St. Inigoe's Manor,Joseph Mobberly,J030,,,MPA-44-1-StInigosRentLedger-1804-1832.json,
2254,Bob,1831,inventory,1795,,tax assessment,,36,125,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/78,
2254,Bob,1818-03,clothing,,shoes made by John Dorsey,account book,,,,,knows of John Dorsey,NJ039,,,St. Inigoe's Manor,Joseph Mobberly,J030,,,MPA-44-1-StInigosRentLedger-1804-1832.json,
2420,Bob,1821-03-21,inventory,1791,,tax assessment,,30,125,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2001,Boy,1817-12-01,proposed sale,,to John Leach,letter,,,,,acquaintance of John Leach,NJ023,,,St. Inigoe's Manor,Francis Neale,J011,Joseph Marshall,J045,MPA-26-2-Neale-Marshall-1817-12-01.json,
2421,Bridget,1831,inventory,1818,,tax assessment,,13,40,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2421,Bridget,1821-03-21,inventory,1819,,tax assessment,,2,10,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2422,Bridget,1831,inventory,1826,,tax assessment,,5,25,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2423,Caroline,1831,inventory,1820,,tax assessment,,11,40,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2252,Charles,1817-02-06,marriage,,I had no objection that our Chs. should marry provided there is a prospect that the woman shall not be removed etc. etc.,letter,,,,,,,,,St. Inigoe's Manor,John Grassi,J029,Joseph Marshall,J045,CHMC-6-7-Grassi-Marshall-1817-02-06.json,CHMC-6-7-Grassi-Marshall-1816-01-03.json
2252,Charles,1818-03,clothing,,shoes made by John Dorsey,account book,,,,,knows of John Dorsey,NJ039,,,St. Inigoe's Manor,Joseph Mobberly,J030,,,MPA-44-1-StInigosRentLedger-1804-1832.json,
2424,Charles,1821-03-21,inventory,1753,,tax assessment,,68,10,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2425,Charles,1831,inventory,1810,,tax assessment,,21,125,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/78,
2425,Charles,1821-03-21,inventory,1808,,tax assessment,,13,40,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2426,Charlotte,1821-03-21,inventory,1818,,tax assessment,,3,10,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2427,Charlotte,1831,inventory,1829,,tax assessment,,2,10,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2217,Child,1835-09-19,sale,,Gender from 1836-01-06 Grivel to Lancaster letter,account book,,,$4000.00/11,,,,,,St. Inigoe's Manor,Fidel Grivel,J009,,,MPA-44-2-StInigoesAccountLedger-1843-1850.json,MPA-65-2-Grivel-Lancaster-1836-01-06.json
2218,Child,1835-09-19,sale,,Gender from 1836-01-06 Grivel to Lancaster letter,account book,,,$4000.00/11,,,,,,St. Inigoe's Manor,Fidel Grivel,J009,,,MPA-44-2-StInigoesAccountLedger-1843-1850.json,MPA-65-2-Grivel-Lancaster-1836-01-06.json
2219,Child,1835-09-19,sale,,Gender from 1836-01-06 Grivel to Lancaster letter,account book,,,$4000.00/11,,,,,,St. Inigoe's Manor,Fidel Grivel,J009,,,MPA-44-2-StInigoesAccountLedger-1843-1850.json,MPA-65-2-Grivel-Lancaster-1836-01-06.json
2220,Child,1835-09-19,sale,,Gender from 1836-01-06 Grivel to Lancaster letter,account book,,,$4000.00/11,,,,,,St. Inigoe's Manor,Fidel Grivel,J009,,,MPA-44-2-StInigoesAccountLedger-1843-1850.json,MPA-65-2-Grivel-Lancaster-1836-01-06.json
2221,Child,1835-09-19,sale,,Gender from 1836-01-06 Grivel to Lancaster letter,account book,,,$4000.00/11,,,,,,St. Inigoe's Manor,Fidel Grivel,J009,,,MPA-44-2-StInigoesAccountLedger-1843-1850.json,MPA-65-2-Grivel-Lancaster-1836-01-06.json
2222,Child,1835-09-19,sale,,Gender from 1836-01-06 Grivel to Lancaster letter,account book,,,$4000.00/11,,,,,,St. Inigoe's Manor,Fidel Grivel,J009,,,MPA-44-2-StInigoesAccountLedger-1843-1850.json,MPA-65-2-Grivel-Lancaster-1836-01-06.json
2241,Clem,1817-02-06,transfer,,I send to you the list of the Nigroes who from Rd. Mr. Ashton's place (St. Thomas�۪s Manor) are to come to St. Inigoes.,letter,,35,,,property of John Ashton,J008,,,St. Inigoe's Manor,John Grassi,J029,Joseph Marshall,J045,CHMC-6-7-Grassi-Marshall-1817-02-06.json,
2241,Clem,1818-03,clothing,,shoes made by John Dorsey,account book,,,,,knows of John Dorsey,NJ039,,,St. Inigoe's Manor,Joseph Mobberly,J030,,,MPA-44-1-StInigosRentLedger-1804-1832.json,
2272,Daniel,1831,inventory,1810,,tax assessment,,21,125,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/78,
2272,Daniel,1818-03,clothing,,shoes made by John Dorsey,account book,,,,,knows of John Dorsey,NJ039,,,St. Inigoe's Manor,Joseph Mobberly,J030,,,MPA-44-1-StInigosRentLedger-1804-1832.json,
2272,Daniel,1821-03-21,inventory,1809,,tax assessment,,12,40,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2267,Dick,1818-03,clothing,,shoes made by John Dorsey,account book,,,,,knows of John Dorsey,NJ039,,,St. Inigoe's Manor,Joseph Mobberly,J030,,,MPA-44-1-StInigosRentLedger-1804-1832.json,
2428,Dick,1831,inventory,1801,,tax assessment,,30,125,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/78,
2428,Dick,1821-03-21,inventory,1801,,tax assessment,,20,125,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2429,Dick,1831,inventory,1804,,tax assessment,,27,125,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/78,
2282,Dolly,1818-03,clothing,,shoes made by John Dorsey,account book,,,,,knows of John Dorsey,NJ039,,,St. Inigoe's Manor,Joseph Mobberly,J030,,,MPA-44-1-StInigosRentLedger-1804-1832.json,
2430,Dolly,1821-03-21,inventory,1804,,tax assessment,,17,80,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2431,Dorsey,1831,inventory,1802,,tax assessment,,29,125,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/78,
2432,Eliza,1831,inventory,1799,,tax assessment,,32,80,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/78,
2433,Eliza,1831,inventory,1820,,tax assessment,,11,40,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2433,Eliza,1821-03-21,inventory,1819,,tax assessment,,2,10,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2434,Ellen Amanda,1831,inventory,1829,,tax assessment,,2,10,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2435,Emeline,1831,inventory,1827,,tax assessment,,4,20,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2436,Emily,1831,inventory,1830,,tax assessment,,1,5,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2293,Enoch,1831,inventory,1744,,tax assessment,,87,0,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/78,
2293,Enoch,1818-03,clothing,,shoes made by John Dorsey,account book,,,,,knows of John Dorsey,NJ039,,,St. Inigoe's Manor,Joseph Mobberly,J030,,,MPA-44-1-StInigosRentLedger-1804-1832.json,
2437,Enoch,1821-03-21,inventory,1753,,tax assessment,,68,10,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2438,Ezekial,1821-03-21,inventory,1806,,tax assessment,,15,125,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2264,Fil,1818-03,clothing,,shoes made by John Dorsey,account book,,,,,knows of John Dorsey,NJ039,,,St. Inigoe's Manor,Joseph Mobberly,J030,,,MPA-44-1-StInigosRentLedger-1804-1832.json,
2439,Frank,1831,inventory,1819,,tax assessment,,12,40,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2439,Frank,1821-03-21,inventory,1820,,tax assessment,,1,5,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2257,Frederick,1831,inventory,1776,infirm,tax assessment,,55,0,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/78,
2257,Frederick,1818-03,clothing,,shoes made by John Dorsey,account book,,,,,knows of John Dorsey,NJ039,,,St. Inigoe's Manor,Joseph Mobberly,J030,,,MPA-44-1-StInigosRentLedger-1804-1832.json,
2277,Frederick,1831,inventory,1816,,tax assessment,,15,125,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/78,
2277,Frederick,1818-03,clothing,,shoes made by John Dorsey,account book,,,,,knows of John Dorsey,NJ039,,,St. Inigoe's Manor,Joseph Mobberly,J030,,,MPA-44-1-StInigosRentLedger-1804-1832.json,
2277,Frederick,1821-03-21,inventory,1815,,tax assessment,,6,30,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2441,Frederick,1821-03-21,inventory,1773,,tax assessment,,48,110,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2275,Gabe,1831,inventory,1808,,tax assessment,,23,125,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/78,
2275,Gabe,1818-03,clothing,,shoes made by John Dorsey,account book,,,,,knows of John Dorsey,NJ039,,,St. Inigoe's Manor,Joseph Mobberly,J030,,,MPA-44-1-StInigosRentLedger-1804-1832.json,
2275,Gabriel,1821-03-21,inventory,1807,,tax assessment,,14,125,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2286,George,1831,inventory,1805,,tax assessment,,26,125,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/78,
2286,George,1818-03,clothing,,shoes made by John Dorsey,account book,,,,,knows of John Dorsey,NJ039,,,St. Inigoe's Manor,Joseph Mobberly,J030,,,MPA-44-1-StInigosRentLedger-1804-1832.json,
2443,George,1821-03-21,inventory,1808,,tax assessment,,13,40,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2444,Ginny,1821-03-21,inventory,1817,,tax assessment,,4,20,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2278,Gran. Ann,1818-03,clothing,,shoes made by John Dorsey,account book,,,,,knows of John Dorsey,NJ039,,,St. Inigoe's Manor,Joseph Mobberly,J030,,,MPA-44-1-StInigosRentLedger-1804-1832.json,
2445,Gullet [?],1831,inventory,1829,,tax assessment,,2,10,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2240,Harrison,1817-02-06,transfer,,I send to you the list of the Nigroes who from Rd. Mr. Ashton's place (St. Thomas�۪s Manor) are to come to St. Inigoes.,letter,,16,,,property of John Ashton,J008,,,St. Inigoe's Manor,John Grassi,J029,Joseph Marshall,J045,CHMC-6-7-Grassi-Marshall-1817-02-06.json,
2276,Harry,1831,inventory,1765,,tax assessment,,66,0,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/78,
2446,Harry,1821-03-21,inventory,1773,,tax assessment,,48,110,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2447,Harry,1821-03-21,inventory,1800,,tax assessment,,21,125,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2448,Harry,1821-03-21,inventory,1806,,tax assessment,,15,125,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2449,Henny,1831,inventory,1810,,tax assessment,,21,80,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/78,
2449,Henny,1821-03-21,inventory,1810,,tax assessment,,11,40,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2450,Henny,1831,inventory,1829,,tax assessment,,2,10,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2288,Henry,1831,inventory,1805,fool,tax assessment,,26,0,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/78,
2288,Henry,1818-03,clothing,,shoes made by John Dorsey,account book,,,,,knows of John Dorsey,NJ039,,,St. Inigoe's Manor,Joseph Mobberly,J030,,,MPA-44-1-StInigosRentLedger-1804-1832.json,
2451,Henry,1821-03-21,inventory,1813,,tax assessment,,8,40,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2237,Hilary,1831-01-19,travel,,were supposed to meet Lewis (2235) at GU but the weather was too bad,letter,,,,,,,,,St. Inigoe's Manor,Joseph Carbery,J033,George Fenwick,J049,MPA-64-3-Carbery-Fenwick-1831-01-19.json,
2237,Hillary,1831,inventory,1814,,tax assessment,,17,125,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/78,
2114,Husband,1809-06-26,report of sale,,"supernumerary, elderly",Proceedings,,,,2/$350.00,,,,,St. Inigoe's Manor,,,,,"""C:\Users\sharonmleon\Dropbox\JPPDigital\MPA-24-1-ProceedingsoftheCorporationVol1-1809-06-26.json""",
2453,Ignatius,1821-03-21,inventory,1784,,tax assessment,,37,125,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2453,Ignatius,1821-03-21,inventory,1817,,tax assessment,,4,20,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2454,Infant,1831,inventory,1830,,tax assessment,,1,10,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2455,Infant,1831,inventory,1830,,tax assessment,,1,10,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2246,Isaac,1831,inventory,1814,,tax assessment,,17,125,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/78,
2246,Isaac,1817-02-06,transfer,,I send to you the list of the Nigroes who from Rd. Mr. Ashton's place (St. Thomas�۪s Manor) are to come to St. Inigoes.,letter,,14,,,property of John Ashton,J008,,,St. Inigoe's Manor,John Grassi,J029,Joseph Marshall,J045,CHMC-6-7-Grassi-Marshall-1817-02-06.json,
2246,Isaac,1818-03,clothing,,shoes made by John Dorsey,account book,,,,,knows of John Dorsey,NJ039,,,St. Inigoe's Manor,Joseph Mobberly,J030,,,MPA-44-1-StInigosRentLedger-1804-1832.json,
2456,Isaac,1821-03-21,inventory,1805,,tax assessment,,16,125,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2290,Jac,1818-03,clothing,,shoes made by John Dorsey,account book,,,,,knows of John Dorsey,NJ039,,,St. Inigoe's Manor,Joseph Mobberly,J030,,,MPA-44-1-StInigosRentLedger-1804-1832.json,
2259,Jack,1831,inventory,1807,,tax assessment,,24,125,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/78,
2259,Jack,1818-03,clothing,,shoes made by John Dorsey,account book,,,,,knows of John Dorsey,NJ039,,,St. Inigoe's Manor,Joseph Mobberly,J030,,,MPA-44-1-StInigosRentLedger-1804-1832.json,
2457,James,1831,inventory,1824,,tax assessment,,7,35,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2458,Jenny,1831,inventory,1818,,tax assessment,,13,40,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2210,Jim,1807-01-10,hire?,,unclear if hired or owned ��� reports of absence,account book,,,,,,,,,St. Inigoe's Manor,Francis Neale,,,,MPA-43-3-FrancisNeale-StInigoesFarmBook-1805-1808.json,
2284,Jim,1818-03,clothing,,shoes made by John Dorsey,account book,,,,,knows of John Dorsey,NJ039,,,St. Inigoe's Manor,Joseph Mobberly,J030,,,MPA-44-1-StInigosRentLedger-1804-1832.json,
2459,Jim,1831,inventory,1781,,tax assessment,,50,50,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/78,
2460,Jim,1821-03-21,inventory,1786,,tax assessment,,35,125,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2461,Joe,1831,inventory,1813,,tax assessment,,18,125,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/78,
2461,Joe,1821-03-21,inventory,1811,,tax assessment,,10,40,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2243,John,1831,inventory,1806,,tax assessment,,25,125,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/78,
2243,John,1817-02-06,transfer,,I send to you the list of the Nigroes who from Rd. Mr. Ashton's place (St. Thomas�۪s Manor) are to come to St. Inigoes.,letter,,14,,,property of John Ashton,J008,,,St. Inigoe's Manor,John Grassi,J029,Joseph Marshall,J045,CHMC-6-7-Grassi-Marshall-1817-02-06.json,
2243,John,1821-03-21,inventory,1803,,tax assessment,,18,125,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2268,John,1818-03,clothing,,shoes made by John Dorsey,account book,,,,,knows of John Dorsey,NJ039,,,St. Inigoe's Manor,Joseph Mobberly,J030,,,MPA-44-1-StInigosRentLedger-1804-1832.json,
2203,Joseph,1795-12-24,lease,,,contract,,,,10L/per 1st2 years -- 14L/per last 3 years,property of Ambrose Marechall,NJ002,leased by James O�۪Donald,NJ027,St. Inigoe's Manor,,,,,MPA-30-3-Marechal-Odonald-BohemiaLease-1795-12-24.json,
2462,Judah,1831,inventory,1748,,tax assessment,,83,0,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/78,
2463,Judd,1821-03-21,inventory,1761,,tax assessment,,60,8,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2291,Judy,1818-03,clothing,,shoes made by John Dorsey,account book,,,,,knows of John Dorsey,NJ039,,,St. Inigoe's Manor,Joseph Mobberly,J030,,,MPA-44-1-StInigosRentLedger-1804-1832.json,
2464,Juezar [?],1821-03-21,inventory,1813,,tax assessment,,8,40,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2253,Katy,1818-03,clothing,,shoes made by John Dorsey,account book,,,,,knows of John Dorsey,NJ039,,,St. Inigoe's Manor,Joseph Mobberly,J030,,,MPA-44-1-StInigosRentLedger-1804-1832.json,
2270,Kitty,1831,inventory,1776,,tax assessment,,55,0,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/78,
2270,Kitty,1818-03,clothing,,shoes made by John Dorsey,account book,,,,,knows of John Dorsey,NJ039,,,St. Inigoe's Manor,Joseph Mobberly,J030,,,MPA-44-1-StInigosRentLedger-1804-1832.json,
2270,Kitty,1821-03-21,inventory,1776,,tax assessment,,45,53,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2269,Lee,1818-03,clothing,,shoes made by John Dorsey,account book,,,,,knows of John Dorsey,NJ039,,,St. Inigoe's Manor,Joseph Mobberly,J030,,,MPA-44-1-StInigosRentLedger-1804-1832.json,
2465,Leonard,1831,inventory,1800,,tax assessment,,31,125,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/78,
