Birth Year,Count,,Decade,Births,,
1778,1,,,,,
1778,1,,,,,
1778,1,,,,,
1779,1,,,,,
1779,1,,,,,
1780,1,,,,,
1781,1,,,,,
1781,1,,,,,
1781,1,,,,,
1782,1,,,,,
1783,1,,,,,
1783,1,,,,,
1783,1,,,,,
1783,1,,,,,
1783,1,,,,,
1783,1,,,,,
1784,1,,,,,
1784,1,,,,,
1784,1,,,,,
1784,1,,,,,
1785,1,,,,,
1786,1,,,,,
1786,1,,,,,
1786,1,,,,,
1787,1,,,,,
1787,1,,,,,
1787,1,,,,,
1788,1,,,,,
1788,1,,,,,
1788,1,,,,,
1788,1,,,,,
1788,1,,,,,
1789,1,,,,,
1789,1,,,,,
1789,1,,,,,
1789,1,,,,,
1789,1,,,,,
1790,1,,,,,
1790,1,,,,,
1791,1,,,,,
1791,1,,,,,
1791,1,,,,,
1791,1,,,,,
1792,1,,,,,
1792,1,,,,,
1793,1,,,,,
1793,1,,,,,
1793,1,,,,,
1793,1,,,,,
1793,1,,,,,
1794,1,,,,,
1795,1,,,,,
1795,1,,,,,
1795,1,,,,,
1795,1,,,,,
1795,1,,,,,
1795,1,,,,,
1796,1,,,,,
1796,1,,,,,
1796,1,,,,,
1796,1,,,,,
1796,1,,,,,
1796,1,,,,,
1796,1,,,,,
1796,1,,,,,
1798,1,,,,,
1798,1,,,,,
1798,1,,,,,
1799,1,,,,,
1799,1,,,,,
1799,1,,,,,
1800,1,,,,,
1800,1,,,,,
1800,1,,,,,
1800,1,,,,,
1800,1,,,,,
1800,1,,,,,
1800,1,,,,,
1801,1,,,,,
1801,1,,,,,
1801,1,,,,,
1801,1,,,,,
1802,1,,,,,
1802,1,,,,,
1802,1,,,,,
1802,1,,,,,
1802,1,,,,,
1803,1,,,,,
1803,1,,,,,
1803,1,,,,,
1803,1,,,,,
1803,1,,,,,
1803,1,,,,,
1804,1,,,,,
1804,1,,,,,
1804,1,,,,,
1804,1,,,,,
1805,1,,,,,
1805,1,,,,,
1805,1,,,,,
1806,1,,,,,
1806,1,,,,,
1806,1,,,,,
1806,1,,,,,
1806,1,,,,,
1806,1,,,,,
1806,1,,,,,
1806,1,,,,,
1807,1,,,,,
1807,1,,,,,
1807,1,,,,,
1808,1,,,,,
1808,1,,,,,
1808,1,,,,,
1808,1,,,,,
1808,1,,,,,
1808,1,,,,,
1808,1,,,,,
1808,1,,,,,
1808,1,,,,,
1808,1,,,,,
1808,1,,,,,
1808,1,,,,,
1809,1,,,,,
1809,1,,,,,
1809,1,,,,,
1810,1,,,,,
1810,1,,,,,
1810,1,,,,,
1810,1,,,,,
1810,1,,,,,
1811,1,,,,,
1811,1,,,,,
1811,1,,,,,
1811,1,,,,,
1811,1,,,,,
1811,1,,,,,
1811,1,,,,,
1811,1,,,,,
1811,1,,,,,
1812,1,,,,,
1812,1,,,,,
1812,1,,,,,
1812,1,,,,,
1812,1,,,,,
1813,1,,,,,
1813,1,,,,,
1813,1,,,,,
1813,1,,,,,
1813,1,,,,,
1813,1,,,,,
1813,1,,,,,
1814,1,,,,,
1814,1,,,,,
1814,1,,,,,
1814,1,,,,,
1814,1,,,,,
1814,1,,,,,
1814,1,,,,,
1814,1,,,,,
1814,1,,,,,
1814,1,,,,,
1814,1,,,,,
1815,1,,,,,
1815,1,,,,,
1815,1,,,,,
1815,1,,,,,
1815,1,,,,,
1815,1,,,,,
1816,1,,,,,
1816,1,,,,,
1816,1,,,,,
1816,1,,,,,
1817,1,,,,,
1817,1,,,,,
1817,1,,,,,
1817,1,,,,,
1817,1,,,,,
1817,1,,,,,
1817,1,,,,,
1818,1,,,,,
1818,1,,,,,
1818,1,,,,,
1819,1,,,,,
1819,1,,,,,
1819,1,,,,,
1819,1,,,,,
1819,1,,,,,
1819,1,,,,,
1819,1,,,,,
1819,1,,,,,
1819,1,,,,,
1820,1,,,,,
1820,1,,,,,
1820,1,,,,,
1820,1,,,,,
1820,1,,,,,
1820,1,,,,,
1820,1,,,,,
1820,1,,,,,
1820,1,,,,,
1820,1,,,,,
1821,1,,,,,
1821,1,,,,,
1821,1,,,,,
1821,1,,,,,
1821,1,,,,,
1821,1,,,,,
1821,1,,,,,
1821,1,,,,,
1821,1,,,,,
1822,1,,,,,
1822,1,,,,,
1822,1,,,,,
1822,1,,,,,
1822,1,,,,,
1822,1,,,,,
1822,1,,,,,
1822,1,,,,,
1822,1,,,,,
1822,1,,,,,
1822,1,,,,,
1823,1,,,,,
1823,1,,,,,
1823,1,,,,,
1823,1,,,,,
1823,1,,,,,
1823,1,,,,,
1823,1,,,,,
1823,1,,,,,
1824,1,,,,,
1824,1,,,,,
1824,1,,,,,
1824,1,,,,,
1824,1,,,,,
1824,1,,,,,
1825,1,,,,,
1825,1,,,,,
1825,1,,,,,
1825,1,,,,,
1825,1,,,,,
1825,1,,,,,
1825,1,,,,,
1826,1,,,,,
1826,1,,,,,
1826,1,,,,,
1826,1,,,,,
1826,1,,,,,
1826,1,,,,,
1827,1,,,,,
1827,1,,,,,
1827,1,,,,,
1827,1,,,,,
1827,1,,,,,
1827,1,,,,,
1827,1,,,,,
1827,1,,,,,
1827,1,,,,,
1827,1,,,,,
1827,1,,,,,
1828,1,,,,,
1828,1,,,,,
1828,1,,,,,
1828,1,,,,,
1828,1,,,,,
1828,1,,,,,
1828,1,,,,,
1828,1,,,,,
1828,1,,,,,
1828,1,,,,,
1828,1,,,,,
1828,1,,,,,
1828,1,,,,,
1828,1,,,,,
1828,1,,,,,
1828,1,,,,,
1828,1,,,,,
1829,1,,,,,
1829,1,,,,,
1829,1,,,,,
1829,1,,,,,
1829,1,,,,,
1829,1,,,,,
1829,1,,,,,
1829,1,,,,,
1829,1,,,,,
1829,1,,,,,
1829,1,,,,,
1830,1,,,,,
1830,1,,,,,
1830,1,,,,,
1830,1,,,,,
1830,1,,,,,
1830,1,,,,,
1830,1,,,,,
1830,1,,,,,
1830,1,,,,,
1830,1,,,,,
1830,1,,,,,
1830,1,,,,,
1830,1,,,,,
1830,1,,,,,
1830,1,,,,,
1830,1,,,,,
1830,1,,,,,
1830,1,,,,,
1830,1,,,,,
1830,1,,,,,
1831,1,,,,,
1831,1,,,,,
1831,1,,,,,
1831,1,,,,,
1831,1,,,,,
1831,1,,,,,
1831,1,,,,,
1831,1,,,,,
1831,1,,,,,
1831,1,,,,,
1831,1,,,,,
1831,1,,,,,
1831,1,,,,,
1831,1,,,,,
1831,1,,,,,
1831,1,,,,,
1831,1,,,,,
1831,1,,,,,
1831,1,,,,,
1832,1,,,,,
1832,1,,,,,
1832,1,,,,,
1832,1,,,,,
1832,1,,,,,
1832,1,,,,,
1832,1,,,,,
1832,1,,,,,
1832,1,,,,,
1832,1,,,,,
1832,1,,,,,
1832,1,,,,,
1832,1,,,,,
1832,1,,,,,
1832,1,,,,,
1832,1,,,,,
1832,1,,,,,
1832,1,,,,,
1832,1,,,,,
1833,1,,,,,
1833,1,,,,,
1833,1,,,,,
1833,1,,,,,
1833,1,,,,,
1833,1,,,,,
1833,1,,,,,
1833,1,,,,,
1833,1,,,,,
1833,1,,,,,
1833,1,,,,,
1833,1,,,,,
1833,1,,,,,
1834,1,,,,,
1834,1,,,,,
1834,1,,,,,
1834,1,,,,,
1834,1,,,,,
1834,1,,,,,
1834,1,,,,,
1834,1,,,,,
1834,1,,,,,
1834,1,,,,,
1835,1,,,,,
1835,1,,,,,
1835,1,,,,,
1835,1,,,,,
1835,1,,,,,
1835,1,,,,,
1835,1,,,,,
1836,1,,,,,
1836,1,,,,,
1836,1,,,,,
1836,1,,,,,
1836,1,,,,,
1836,1,,,,,
1836,1,,,,,
1836,1,,,,,
1836,1,,,,,
1837,1,,,,,
1837,1,,,,,
1837,1,,,,,
1837,1,,,,,
1837,1,,,,,
1837,1,,,,,
1837,1,,,,,
1837,1,,,,,
1837,1,,,,,
1837,1,,,,,
1837,1,,,,,
