os:id,dcterms:identifier ,dcterms:title ,foaf:firstName ,foaf:lastName ,foaf:status ,dcterms:description ,dcterms:isReferencedBy 
1043,NJ019,Henry Sewall,Henry,Sewall,white lay person,Brother of Charles Sewall (J017),
1044,NJ020,Eleanor Pye,Eleanor,Pye,white lay person,Sister of Charles Sewall (J017),MPA-24-2-ProceedingsoftheCorporationVol2-1824-09-29.json
1045,NJ021,Henry Pye,Henry,Pye,white lay person,Grandnephew of Charles Sewall,
1046,NJ022,John Pye,John,Pye,white lay person,Grandnephew of Charles Sewall, http://mdhistory.net/msaref14/msa_sc1848/html/index.html Senator
1047,NJ023,John Leach,John,Leach,white lay person,,
1048,NJ024,Robert Digges,Robert,Digges,white lay person,"Child of Robert Digges, Child of Dorothy", http://mdhistory.net/msaref14/msa_sc1848/html/index.html Congressman
1049,NJ025,George Digges,George ,Digges,white lay person,"Father of Robert Digges, Spouse of Dorothy Digges",
1050,NJ026,John Morton,John ,Morton,white lay person,"leases Ambrose Marechal s servant James, Blacksmith",MPA-24-2-ProceedingsoftheCorporationVol2-late-1820s.json
1051,NJ027,James O Donald,James,O Donald,white lay person,lease agreement with Ambrose Marechal,
1052,NJ028,William Corkrill,William,Corkrill,white lay person,Overseer on St. Joseph s (1803),
1053,NJ029,Sarah Price,Sarah,Price,white lay person,removed Tilly from St. Joseph s in 1803 without permission,
1054,NJ030,Campbell,,Campell,white lay person,,MPA-25-7-GeorgeFenwickWill-1807-05-08.json
1055,NJ031,William Hall,William ,Hall,white lay person,sold Nann to Woods & Alston of Georgia,
1056,NJ032,Woods & Alston,,Woods & Alston,white lay person,contract with William Hall,
1057,NJ033,Thomas Attwood,Thomas,Attwood,white lay person,brother of George Attwood,MPA-25-7-WilliamFenwickWill-1813-01-05.json
1058,NJ034,Francis Fenwick,Francis,Fenwick ,white lay person,"brother of George Fenwick, SJ",
1059,NJ035,John G. Johnson,John G.,Johnson,white lay person,bought Harriot from George Fenwick,MPA-25-7-WilliamFenwickWill-1813-01-05.json
1060,NJ036,Jane Fenwick,Jane,Fenwick ,white lay person,,
1061,NJ037,Ann Fenwick,Ann ,Fenwick ,white lay person,,MPA-25-8-Henry-Sewall-Will-1801-12-30.json
1062,NJ038,John Wiseman,John,Wiseman,white lay person,,
1063,NJ039,John Dorsey,John,Dorsey,white lay person,shoemaker,MPA-25-12-Charles-Sewall-will-1806-08-15.json
1064,NJ040,George G. Guyther,George G.,Guyther,white lay person,sold Ned to Joseph Carbery,
1066,NJ041,William L. Hilton,William L.,Hilton,white lay person,hired work of Arnold from St. Inigoes in 1837,MPA-25-12-Charles-Sewall-will-1806-08-15.json
1067,NJ042,Peter Smith,Peter,Smith,white lay person,hired enslaved labor from St. Inigoes (1834-1839),
1068,NJ043,Thomas Smith,Thomas,Smith,white lay person,hired enslaved labor from St. Inigoes (1834-1839),MPA-25-12-Charles-Sewall-will-1806-08-15.json
1069,NJ044,Ignatius Langley,Ignatius,Langley,white lay person,hired enslaved labor from St. Inigoes (1834-1839),
1070,NJ045,William Beam,William,Beam,white lay person,hired enslaved labor from St. Inigoes (1834-1839),MPA-26-2-Neale-Marshall-1817-12-01.json
1071,NJ046,John Bennett,John,Bennett,white lay person,hired enslaved labor from St. Inigoes (1834-1839),
1072,NJ047,William Heard,William,Heard,white lay person,hired enslaved labor from St. Inigoes (1834-1839),"MPA-26-7-DorothyDiggesSaleToCharlesSewall-1803-04-09,json"
1073,NJ048,Robert Bean,Robert,Bean,white lay person,hired enslaved labor from St. Inigoes (1834-1839),
1074,NJ049,Dr. Jones,,Jones,white lay person,hired enslaved labor from St. Inigoes (1834-1839),"MPA-26-7-DorothyDiggesSaleToCharlesSewall-1803-04-09,json"
1075,NJ050,L. Harmon,L.,Harmon,white lay person,hired enslaved labor from St. Inigoes (1834-1839),
1076,NJ051,Mr. Biscoe,,Biscoe,white lay person,hired enslaved labor from St. Inigoes (1834-1839),MPA-30-3-Marechal-Lease-James-blacksmith-Morton-1798-01-11.json
1077,NJ052,William McKey,William,McKey,white lay person,hired enslaved labor from St. Inigoes (1834-1839),
1078,NJ053,Mr. Estes,,Estes,white lay person,owner of Solomon,MPA-30-3-Marechal-Odonald-BohemiaLease-1795-12-24.json
1079,NJ054,Benjamin G. Harris,Benjamin G.,Harris,white lay person,owner of George Mills,
1080,NJ055,Aloysius Fenwick,Aloysius,Fenwick ,white lay person,owner of Louise,MPA-31-2-StJosephsInventory-1803-04-28.json
1081,NJ056,Charles Bowling,Charles,Bowling,white lay person,sold woman to Newtown,
1082,NJ057,Margaret Fenwick,Margaret ,Fenwick ,white lay person,"mother of George Fenwick, SJ, Benedict Fenwick, SJ, and Enoch Fenwick, SJ",MPA-31-2-StJosephsInventory-1803-04-28.json
1083,NJ058,Eleanor Sewall Fenwick,Eleanor,Fenwick (Sewall),white lay person,married to Francis Fenwick (NJ034),
1084,NJ059,James Marymann,James,Marymann,white lay person,buys two  small  people from Newtown,MPA-35-6-AshtonCampbellEstateLegalDispute-1780.json
1085,NJ060,Joseph Heard,Joseph,Heard,white lay person,exchanges his Anne for Minty and childe,
1086,NJ061,Walter Speak,Walter ,Speak,white lay person,sold Jess to St. Thomas's Manor ,MPA-35-6-WilliamHall-SlaveSaleToGeorgia-1803-05-07.json
1087,NJ062,Mr. Doyne,,Doyne,white lay person,purchas of Joe,
1088,NJ063,William Brent,Wiliam,Brent,white lay person,purchase of Michael,MPA-35-6-WilliamHall-SlaveSaleToGeorgia-1803-05-07.json
1089,NJ064,Joseph Fenwick,Joseph,Fenwick ,white lay person,purchase of Michael,
1090,NJ065,Dr. Raphael Smith,Raphael,Smith,white lay person,purchase of Rosweld,MPA-35-6-AttwoodSellsHisBrother12Slaves-1727-10-02
1091,NJ066,David Hains,David,Hains,white lay person,purchase of Esther from Bohemia,
1092,NJ067,John Carty,John,Carty,white lay person,"purchase of Kate, Jonathn, and Bob",MPA-39-2-Margaret-Francis-Fenwick-sale-1813-08-10
1093,NJ068,Perry Greenwood,Perry,Greenwood,white lay person,purchase of Nell and her son Perry,
1094,NJ069,Thomas McKenny,Thomas,McKenny,white lay person,purchase of Martha,MPA-39-6-FenwickSaleofHarriot-1830-10-15.json
1095,NJ070,Aitkey Pennington,Aitkey,Pennington,white lay person,purchase of Sarah and Jerry,
1096,NJ071,Samuel Fulton,Samuel,Fulton,white lay person,sold Mary Hannah and Issac to Bohemia,MPA-39-7-GeorgeFenwick-I-Distribution-1774-06-20.json
1097,NJ072,John Fulton,John,Fulton,white lay person,sold Mary Hannah and Issac to Bohemia,
1098,NJ073,John Ryland,John,Ryland,white lay person,purchased Dina Jacob and Jemima,MPA-39-10-FrancisNealeArrangeSecretSale-1808.json
1099,NJ074,Joseph Carbery,Joseph,Carberry,white lay person,sold Agnes and Mary to Newtown in 1794,
1100,NJ075,R. Thompson,R.,Thompson,white lay person,"owner of Harry, who is father of Jerry (6156)",MPA-39-10-FrancisNealeArrangeSecretSale-1808.json
1101,NJ076,Edmond Plowden,Edmond,Plowden,white lay person,exchanged his William for Jane and Rachel,
1102,NJ077,Marun Duval,Marun,Duval,white lay person,owner of Rachel (4114),MPA-44-1-StInigosRentLedger-1804-1832.json
1103,NJ078,Jeremiah Neale,Jeremiah ,Neale,white lay person,sold man to the College,
1104,NJ079,Philip Bussard,Philip ,Bussard,white lay person,purchased a woman from the College,MPA-44-1-StInigosRentLedger-1804-1832.json
1105,NJ080,John Hoover,John,Hoover,white lay person,purchased people from the College (perhaps 15 @ $400),
1106,NJ081,Mr. Herbert,,Herbert,white lay person,owner of Clem's wife (7095),MPA-44-2-StInigoesAccountLedger-1843-1850.json
1107,NJ082,Mr. Magruder,,Magruder,white lay person,owner of Emmy West (7108),
1108,NJ083,Mr. Wooden,,Wooden,white lay person,owner of Patsy Mahony (7109),MPA-44-2-StInigoesAccountLedger-1843-1850.json
1109,NJ084,Joseph Erins,Joseph,Erins (might be Evins),white lay person,owner of John Thomas (7110),
1110,NJ085,Mrs. Carpenter,,Carpenter,white lay person,owner of Eliza (7131),MPA-44-2-StInigoesAccountLedger-1843-1850.json
1111,NJ086,William Llewellin,William,Llewellin,white lay person,owner of Henry (7132),
1112,NJ087,Capt. Chiseldine,Capt.,Chiseldine,white lay person,owner of Henry (7133),MPA-44-2-StInigoesAccountLedger-1843-1850.json
1113,NJ088,Mr. Plowden,,Plowden,white lay person,owner of Henry (7134) might be the same as Edmond Plowden but I think this is another brother,
1114,NJ089,John Jenkins,John,Jenkins,white lay person,owner of Nicholas (7135),MPA-44-2-StInigoesAccountLedger-1843-1850.json
1115,NJ090,Washington Bowling,Washington,Bowling,white lay person,sold Sarah (6111),
1116,NJ091,Mary June,Mary,June,white lay person,owner of Mary (7136),MPA-44-2-StInigoesAccountLedger-1843-1850.json
1117,NJ092,Molly Ford,Molly ,Ford,white lay person,owner of Mary (7137),
1118,NJ093,Richard Wright,Richard,Wright,white lay person,purchase of person from the College,MPA-44-2-StInigoesAccountLedger-1843-1850.json
1122,NJ094,M. Middleton,M.,Middleton,white lay person,sold Perry (6078) to St. Inigoes,
1123,NJ095,George Reese,George ,Reese,white lay person,purchased enslaved people: Nell (5091) and Philis (5014),MPA-44-2-StInigoesAccountLedger-1843-1850.json
1124,NJ096,Robert Hodgson,Robert,Hodgson,white lay person,purchased Jany (5103),
1125,NJ097,John Cainan,John,Cainan,white lay person,purchased Bob (5097),MPA-44-2-StInigoesAccountLedger-1843-1850.json
1126,NJ098,James Pennington,James,Pennington,white lay person,purchase of 5082,
1127,NJ099,Robert Milligan,Robert,Milligan,white lay person,purchased William (5054),MPA-44-2-StInigoesAccountLedger-1843-1850.json
3710,NJ100,William Jermains,William,Jermains,white lay person,sold Charles (5121),
3712,NJ101,Louisa Mills,Louisa,Mills,white lay person,,MPA-44-2-StInigoesAccountLedger-1843-1850.json
3713,NJ102,William Saunders,William,Saunders,white lay person,,
3714,NJ103,Priscilla Neale,Priscilla,Neale,white lay person,,MPA-44-2-StInigoesAccountLedger-1843-1850.json
3715,Nj104,Jackson,,Jackson,white lay person,,
3716,NJ105,Edward Hamilton,Edward,Hamilton,white lay person,,MPA-44-2-StInigoesAccountLedger-1843-1850.json
3717,NJ106,William Smith,William,Smith,white lay person,,
3718,NJ107,S. Henry Gough,S. Henry,Gough,white lay person,,MPA-44-4-LooseScrap-NewtownDaybook-1765.json
3719,NJ108,Mrs. Hopes,,Hopes,white lay person,,
3720,NJ109,Colonel Joseph Harris,Joseph,Harris,white lay person,,MPA-44-5-GeorgeMills-Louise-marriagepermission-1848-07-15.json
3723,NJ110,Frank Baker,Frank,Baker,white lay person,,
3724,NJ111,Dr. Matthews,,Matthews,white lay person,,
3725,NJ112,John Llwellin,John,Llwellin,white lay person,,MPA-45-3-NewtownDayBook-1807-1816.json
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,MPA-46-1-NewtownAccountsLedger-1816-1832.json
,,,,,,,
,,,,,,,MPA-46-4-StThomasAcctBk-1820-1824
,,,,,,,
,,,,,,,MPA-46-6-StThomasAcctBook-1793-1821
,,,,,,,
,,,,,,,MPA-46-6-StThomasAcctBook-1793-1821
,,,,,,,
,,,,,,,MPA-47-2-StThomasAccountBook-1793-1822
,,,,,,,
,,,,,,,MPA-47-2-StThomasAccountBook-1793-1822
,,,,,,,
,,,,,,,MPA-47-2-StThomasAccountBook-1793-1822
,,,,,,,
,,,,,,,MPA-49-3-BohemiaDayBook-1790-1870.json
,,,,,,,
,,,,,,,MPA-49-3-BohemiaDayBook-1790-1870.json
,,,,,,,
,,,,,,,MPA-49-3-BohemiaDayBook-1790-1870.json
,,,,,,,
,,,,,,,MPA-49-3-BohemiaDayBook-1790-1870.json
,,,,,,,
,,,,,,,MPA-49-3-BohemiaDayBook-1790-1870.json
,,,,,,,
,,,,,,,MPA-49-3-BohemiaDayBook-1790-1870.json
,,,,,,,
,,,,,,,MPA-49-3-BohemiaDayBook-1790-1870.json
,,,,,,,
,,,,,,,MPA-49-3-BohemiaDayBook-1790-1870.json
,,,,,,,
,,,,,,,1782-MPA-44-4-NewtownDayBook-loose-SlaveList-1782-1796.json
,,,,,,,
,,,,,,,1782-MPA-44-4-NewtownDayBook-loose-SlaveList-1782-1796.json
,,,,,,,
,,,,,,,1782-MPA-44-4-NewtownDayBook-loose-SlaveList-1782-1796.json
,,,,,,,
,,,,,,,1818-MPC-3-4-WhiteMarshBaptismalRegistry-1818-1822.json
,,,,,,,
,,,,,,,GUArchives-Ledger-1803-1813.json
,,,,,,,
,,,,,,,GUArchives-Ledger-1803-1813.json
,,,,,,,
,,,,,,,GUArchives-DayBook-1837-1854.json
,,,,,,,
,,,,,,,CHMC-6-7-Grassi-Marshall-1817-02-06.json
,,,,,,,
,,,,,,,1818-MPC-3-4-WhiteMarshBaptismalRegistry-1818-1833.json
,,,,,,,
,,,,,,,1818-MPC-3-4-WhiteMarshBaptismalRegistry-1818-1833.json
,,,,,,,
,,,,,,,1818-MPC-3-4-WhiteMarshBaptismalRegistry-1818-1833.json
,,,,,,,
,,,,,,,MPA-101-9-NewtownSacramentalRegister-1819-1857.json
,,,,,,,
,,,,,,,MPA-101-9-NewtownSacramentalRegister-1819-1857.json
,,,,,,,
,,,,,,,MPA-101-9-NewtownSacramentalRegister-1819-1857.json
,,,,,,,
,,,,,,,MPA-26.5-2-NewtownBaptisms-(1806-1835)
,,,,,,,
,,,,,,,MPA-26.5-2-NewtownBaptisms-(1806-1835)
,,,,,,,
,,,,,,,MPA-26.5-2-NewtownBaptisms-(1806-1835)
,,,,,,,
,,,,,,,MPA-101-9-NewtownSacramentalRegister-1819-1857.json
,,,,,,,
,,,,,,,MPA-101-9-NewtownSacramentalRegister-1819-1857.json
,,,,,,,
,,,,,,,GUArchives-DayBook-1830-1836.json
,,,,,,,MPA-26.5-2-NewtownBaptisms-(1806-1835)
,,,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
,,,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
,,,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
,,,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
,,,,,,,MPA-49-3-BohemiaDayBook-1790-1870.json
,,,,,,,http://slaveryarchive.georgetown.edu/items/show/268
