OS-ID,Identifier,Title,Name,Date,Date type,Date of Birth,Note,Type,File,Age,Value,Estimated Value,Relationship,Identifier,Relationship,Identifier,Location,SJ,Identifier,SJ,Identifier,Source
1691,5062,,Jack,1791-02-22,inoculation,,,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1444,5063,,Lucy,1791-02-22,inoculation,,,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1445,5064,,Fanny,1791-02-22,inoculation,,,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1446,5065,,Jenny,1791-02-22,inoculation,,,account book,,,,,parent of Patrick,5068,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1447,5066,,Dennis,1791-02-22,inoculation,,,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1448,5068,,Patrick,1791-02-22,inoculation,,,account book,,,,,child of Jenny,5065,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1449,5069,,Amilia,1791-02-22,inoculation,,,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1450,5070,,Nelly,1791-02-22,inoculation,,,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1451,5071,,John,1791-02-22,inoculation,,,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1452,5072,,Joseph,1791-02-22,inoculation,,,account book,,,,,child of Nelly,5070,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1692,5073,,Ralph,1791-02-22,inoculation,,,account book,,,,,child of Nelly,5070,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1688,5057,,Barney,1792-09-01,labor,,assigned to the Mill,account book,,,,,child of Old Ralph,5074,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1693,5074,,Old Ralph,1792-09-01,labor,,assigned to the Mill,account book,,,,,parent of Barney,5057,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1628,5001,,Fanny,1815*,manumission planning,,,notes,,,,,,,,,Bohemia,John Carroll,J006,,,"""C:\Users\sharonmleon\Dropbox\JPPDigital\MPA-23-13-LettertoNealefromEnochFenwickaboutEmancipation-c1817.json"""
1629,5002,,Regis,1815*,manumission planning,,,notes,,,,350,,,,,Bohemia,John Carroll,J006,,,"""C:\Users\sharonmleon\Dropbox\JPPDigital\MPA-23-13-LettertoNealefromEnochFenwickaboutEmancipation-c1817.json"""
1630,5003,,Jacob,1815*,manumission planning,,,notes,,,,350,,,,,Bohemia,John Carroll,J006,,,"""C:\Users\sharonmleon\Dropbox\JPPDigital\MPA-23-13-LettertoNealefromEnochFenwickaboutEmancipation-c1817.json"""
1631,5004,,Bill ,1815*,manumission planning,,,notes,,,,300,,,,,Bohemia,John Carroll,J006,,,"""C:\Users\sharonmleon\Dropbox\JPPDigital\MPA-23-13-LettertoNealefromEnochFenwickaboutEmancipation-c1817.json"""
1632,5006,,John,1815*,manumission planning,,,notes,,,,60,,,,,Bohemia,John Carroll,J006,,,"""C:\Users\sharonmleon\Dropbox\JPPDigital\MPA-23-13-LettertoNealefromEnochFenwickaboutEmancipation-c1817.json"""
1633,5007,,Nancy,1815*,manumission planning,,,notes,,,,200,parent of infant child,5008,,,Bohemia,John Carroll,J006,,,"""C:\Users\sharonmleon\Dropbox\JPPDigital\MPA-23-13-LettertoNealefromEnochFenwickaboutEmancipation-c1817.json"""
1634,5008,,infant child,1815*,manumission planning,,,notes,,,,,child of Nancy,5007,,,Bohemia,John Carroll,J006,,,"""C:\Users\sharonmleon\Dropbox\JPPDigital\MPA-23-13-LettertoNealefromEnochFenwickaboutEmancipation-c1817.json"""
1635,5009,,Polly,1815*,manumission planning,,,notes,,,,200,parent of infant child,5010,,,Bohemia,John Carroll,J006,,,"""C:\Users\sharonmleon\Dropbox\JPPDigital\MPA-23-13-LettertoNealefromEnochFenwickaboutEmancipation-c1817.json"""
1636,5010,,infant child,1815*,manumission planning,,,notes,,,,,child of Polly,5009,,,Bohemia,John Carroll,J006,,,"""C:\Users\sharonmleon\Dropbox\JPPDigital\MPA-23-13-LettertoNealefromEnochFenwickaboutEmancipation-c1817.json"""
1637,5011,,Minty,1815*,manumission planning,,,notes,,,,150,,,,,Bohemia,John Carroll,J006,,,"""C:\Users\sharonmleon\Dropbox\JPPDigital\MPA-23-13-LettertoNealefromEnochFenwickaboutEmancipation-c1817.json"""
1638,5012,,Lucy,1815*,manumission planning,,,notes,,,,,,,,,Bohemia,John Carroll,J006,,,"""C:\Users\sharonmleon\Dropbox\JPPDigital\MPA-23-13-LettertoNealefromEnochFenwickaboutEmancipation-c1817.json"""
1639,5013,,Barney,1815*,manumission planning,,,notes,,,,,,,,,Bohemia,John Carroll,J006,,,"""C:\Users\sharonmleon\Dropbox\JPPDigital\MPA-23-13-LettertoNealefromEnochFenwickaboutEmancipation-c1817.json"""
1640,5014,,Joe,1815-09-19,manumission planning,,,notes,,,,,,,,,Bohemia,John Carroll,J006,,,"""C:\Users\sharonmleon\Dropbox\JPPDigital\MPA-23-13-LettertoNealefromEnochFenwickaboutEmancipation-c1817.json"""
1641,5015,,Dick ,1815-09-19,manumission planning,,,notes,,,,,,,,,Bohemia,John Carroll,J006,,,"""C:\Users\sharonmleon\Dropbox\JPPDigital\MPA-23-13-LettertoNealefromEnochFenwickaboutEmancipation-c1817.json"""
1641,5015,,Dick ,1815*,manumission planning,,,notes,,,,120,,,,,Bohemia,John Carroll,J006,,,"""C:\Users\sharonmleon\Dropbox\JPPDigital\MPA-23-13-LettertoNealefromEnochFenwickaboutEmancipation-c1817.json"""
1685,5016,,Philis,1815*,manumission planning,,,notes,,,,,,,,,Bohemia,John Carroll,J006,,,"""C:\Users\sharonmleon\Dropbox\JPPDigital\MPA-23-13-LettertoNealefromEnochFenwickaboutEmancipation-c1817.json"""
1642,5017,,Maria,1815*,manumission planning,,,notes,,,,,,,,,Bohemia,John Carroll,J006,,,"""C:\Users\sharonmleon\Dropbox\JPPDigital\MPA-23-13-LettertoNealefromEnochFenwickaboutEmancipation-c1817.json"""
1643,5018,,Prue,1815*,manumission planning,,,notes,,,,,,,,,Bohemia,John Carroll,J006,,,"""C:\Users\sharonmleon\Dropbox\JPPDigital\MPA-23-13-LettertoNealefromEnochFenwickaboutEmancipation-c1817.json"""
1644,5019,,James  ,1815*,manumission planning,,,notes,,,,,,,,,Bohemia,John Carroll,J006,,,"""C:\Users\sharonmleon\Dropbox\JPPDigital\MPA-23-13-LettertoNealefromEnochFenwickaboutEmancipation-c1817.json"""
1645,5020,,Tom,1815*,manumission planning,,,notes,,,,,,,,,Bohemia,John Carroll,J006,,,"""C:\Users\sharonmleon\Dropbox\JPPDigital\MPA-23-13-LettertoNealefromEnochFenwickaboutEmancipation-c1817.json"""
1646,5021,,Twin boy 1,1815*,manumission planning,,,notes,,,,,,,,,Bohemia,John Carroll,J006,,,"""C:\Users\sharonmleon\Dropbox\JPPDigital\MPA-23-13-LettertoNealefromEnochFenwickaboutEmancipation-c1817.json"""
1647,5022,,Twin boy 2,1815*,manumission planning,,,notes,,,,,,,,,Bohemia,John Carroll,J006,,,"""C:\Users\sharonmleon\Dropbox\JPPDigital\MPA-23-13-LettertoNealefromEnochFenwickaboutEmancipation-c1817.json"""
1686,5023,,Molly,1815*,manumission planning,,,notes,,,,160,Spouse of Harry,NJ006,parent of David,5024,Bohemia,John Carroll,J006,,,"""C:\Users\sharonmleon\Dropbox\JPPDigital\MPA-23-13-LettertoNealefromEnochFenwickaboutEmancipation-c1817.json"""
1648,5024,,David,1815*,manumission planning,,,notes,,,,,child of Molly,5023,child of Harry,NJ006,Bohemia,John Carroll,J006,,,"""C:\Users\sharonmleon\Dropbox\JPPDigital\MPA-23-13-LettertoNealefromEnochFenwickaboutEmancipation-c1817.json"""
1685,5016,,Philis,1798,inventory,,,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1686,5023,,Moll ,1799,inventory,,,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1687,5055,,Barny S.,1798,inventory,,,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1687,5055,,Barny  ,1799,inventory,,,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1688,5057,,Barny  ,1798,inventory,,,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1688,5057,,Barny,1799,inventory,,O’Donald’s,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1689,5059,,Dick ,1798,inventory,,,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1689,5059,,Dick ,1799,inventory,,,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1690,5061,,Charles,1798,inventory,,,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1690,5061,,Charles,1799,inventory,,,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1691,5062,,Jack,1798,inventory,,,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1692,5073,,Ralph,1799,inventory,,,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1693,5074,,Old Ralph,1798,inventory,,,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1693,5074,,Old Ralph,1799,inventory,,,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1694,5075,,Ned,1799,inventory,,,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1695,5076,,Rachel,1798,inventory,,,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1695,5076,,Rachel,1799,inventory,,,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1696,5079,,Davy,1798,inventory,,,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1696,5079,,Davy,1799,inventory,,,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1697,5080,,Suky,1798,inventory,,,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1697,5080,,Suky,1799,inventory,,,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1698,5083,,Jacky,1798,inventory,,,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1699,5085,,Poll ,1798,inventory,,,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1700,5086,,Sarah,1798,inventory,,,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1701,5087,,Jus,1798,inventory,,,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1702,5088,,Jakes Wife,1798,inventory,,,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1703,5089,,Diana,1798,inventory,,,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1704,5090,,Bitty,1798,inventory,,,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1705,5092,,Tom,1799,inventory,,,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1706,5093,,Abigail,1799,inventory,,,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1706,5093,,Abig.,1799,inventory,,,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1707,5094,,Betty (Charles’ wife),1799,inventory,,,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1708,5095,,Betty,1799,inventory,,,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1709,5096,,Bid,1799,inventory,,,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1710,5100,,Theresia,1799,inventory,,,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1711,5101,,Prisca,1799,inventory,,,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1712,5102,,Jake ,1799,inventory,,,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1696,5079,,Old Davy,1797-09-02,punishment,,Mr. T. O’Donald violently assaulted Old Davy,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1858,5048,,Mary,1792-02-10,purchase,,bot of saml and john fulton ,account book,,,L35/3,,property of Samuel Fulton,NJ071,property of John Fulton ,NJ072,Bohemia,,,,,MPA-49-3-BohemiaDayBook-1790-1870.json
1859,5049,,Hannah,1792-02-10,purchase,,bot of saml and john fulton ,account book,,,L35/3,,property of Samuel Fulton,NJ071,property of John Fulton ,NJ072,Bohemia,,,,,MPA-49-3-BohemiaDayBook-1790-1870.json
1860,5050,,Issac,1792-02-10,purchase,,bot of saml and john fulton ,account book,,,L35/3,,property of Samuel Fulton,NJ071,property of John Fulton ,NJ072,Bohemia,,,,,MPA-49-3-BohemiaDayBook-1790-1870.json
1861,5051,,Pat,1793-04-04,purchase,,family reunification,account book,,,L40/3,,owner of Mary,5048,spouse of Mary,5048,Bohemia,,,,,MPA-49-3-BohemiaDayBook-1790-1870.json
1442,5058,,Stephen,1795-03-10,purchase,,,account book,,,L90,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1699,5085,,Poll ,1795-03-10,purchase,,,account book,,,L65/3,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1706,5093,,Bigail,1795-03-10,purchase,,,account book,,,L65/3,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1862,5099,,David,1795-03-10,purchase,,,account book,,,L65/3,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1914,5039,,Esther,1790-07-01,sale,,,account book,,,L30,,purchased by David Hains,NJ066,,,Bohemia,,,,,MPA-49-3-BohemiaDayBook-1790-1870.json
1915,5040,,Kate,1790-07-02,sale,,,account book,,,L40/3,,purchased by John Carty,NJ067,,,Bohemia,,,,,MPA-49-3-BohemiaDayBook-1790-1870.json
1916,5041,,Jonathan,1790-07-02,sale,,,account book,,,L40/3,,purchased by John Carty,NJ067,,,Bohemia,,,,,MPA-49-3-BohemiaDayBook-1790-1870.json
1917,5042,,Bob,1790-07-02,sale,,,account book,,,L40/3,,purchased by John Carty,NJ067,,,Bohemia,,,,,MPA-49-3-BohemiaDayBook-1790-1870.json
1918,5043,,Nell,1790-07-6,sale,,Purchaser and son have the same first name -- low price -- could be family reunification,account book,,,$4/2,,purchased by Perry Greenwood,NJ068,,,Bohemia,,,,,MPA-49-3-BohemiaDayBook-1790-1870.json
1919,5044,,Perry,1790-07-6,sale,,Purchaser and son have the same first name -- low price -- could be family reunification,account book,,,$4/2,,purchased by Perry Greenwood,NJ068,,,Bohemia,,,,,MPA-49-3-BohemiaDayBook-1790-1870.json
1920,5045,,Martha,1790-09-9,sale,,Received from Thom McKenny in part for Negro Martha,account book,,,,,purchased by Thomas McKenny,NJ069,,,Bohemia,,,,,MPA-49-3-BohemiaDayBook-1790-1870.json
1921,5046,,Sarah,1791-01-14,sale,,sold Aitkey Pennington a Negro girl (Sarah) and a negro boy (Jerry) for L50,account book,,,L50/2,,purchased by Aitkey Pennington,NJ070,,,Bohemia,,,,,MPA-49-3-BohemiaDayBook-1790-1870.json
1922,5047,,Jerry,1791-01-14,sale,,sold Aitkey Pennington a Negro girl (Sarah) and a negro boy (Jerry) for L50,account book,,,L50/2,,purchased by Aitkey Pennington,NJ070,,,Bohemia,,,,,MPA-49-3-BohemiaDayBook-1790-1870.json
1858,5048,,Mary,1793-04-04,sale,,recd payment in cash L26.7.6 -- Pat answerable for the rest L13.12.6 -- partial payment made on April 25 & 30,account book,,,L40/3,,purchased by Pat,5051,spouse of Pat,5051,Bohemia,,,,,MPA-49-3-BohemiaDayBook-1790-1870.json
1859,5049,,Hannah,1793-04-04,sale,,recd payment in cash L26.7.6 -- Pat answerable for the rest L13.12.6 -- partial payment made on April 25 & 30,account book,,,L40/3,,child of Mary,5048,sibling of Issac,5050,Bohemia,,,,,MPA-49-3-BohemiaDayBook-1790-1870.json
1860,5050,,Issac,1793-04-04,sale,,recd payment in cash L26.7.6 -- Pat answerable for the rest L13.12.6 -- partial payment made on April 25 & 30,account book,,,L40/3,,child of Mary,5048,sibling of Hannah,5049,Bohemia,,,,,MPA-49-3-BohemiaDayBook-1790-1870.json
1440,5052,,Henny,1796-04-19,sale,,sold a negro woman named Henny -- sick and ran away,account book,,,L15,,,,,,Bohemia,,,,,MPA-49-3-BohemiaDayBook-1790-1870.json
1925,5053,,Jemima,1792-02-27,sale,,sold to John Ryland,account book,,,L50/3,,purchased by John Ryland,NJ073,,,Bohemia,,,,,MPA-49-3-BohemiaDayBook-1790-1870.json
1926,5054,,William,1792-03-17,sale,,sold to Robt Milliagan,account book,,,L75,,purchased by Robert Milligan,NJ074,,,Bohemia,,,,,MPA-49-3-BohemiaDayBook-1790-1870.json
1444,5063,,Lucy,1795-02-13,sale,,,account book,,,L80/2,,purchased by John Cainan,,child of Bob,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1448,5068,,Patrick,1797-08-16,sale,,Sold Patt for L.156. his hire from 1st janu. comprepenceded in it. He is obligagted to retire 10 miles from the place under the forfeiture of L 200.,account book,,,L156,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1450,5070,,Nelly,1795-02-28,sale,,,account book,,,L70/3,,purchased by Robert Hodgson,,child of Jany,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1692,5073,,Ralph,1795-02-28,sale,,,account book,,,L70/3,,purchased by Robert Hodgson,,spouse of Jany,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1927,5081,,Man,1797-12,sale,,to James O’Donald,account book,,,L10.10,,purchased by James O’Donald,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1928,5082,,Man,1797-12,sale,,to James Pennington,account book,,,L2.5.6,,purchased by James Pennington,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1929,5091,,Nell,1794-01-08,sale,,,account book,,3 wks,L35/2,,purchased by George Reese,,child of Philis,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1930,5097,,Bob,1795-02-13,sale,,,account book,,,L80/2,,purchased by John Cainan,,parent of Lucy,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1931,5098,,Clara,1795-02-11,sale,,sold to Nelly,account book,,4,L5 ,,purchased by Nelly,,child of Philis,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1932,5103,,Jany,1795-02-28,sale,,,account book,,,L70/3,,purchased by Robert Hodgson,,spouse of Ralph,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1933,5104,,Philis,1794-01-08,sale,,,account book,,,L35/2,,purchased by George Reese,,parent of Nel,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1934,5105,,Jacob,1792-02-27,sale,,sold to John Ryland,account book,,,L50/3,,purchased by John Ryland,NJ073,,,Bohemia,,,,,MPA-49-3-BohemiaDayBook-1790-1870.json
1924,5500,,Dina,1792-02-27,sale,,sold to John Ryland,account book,,,L50/3,,purchased by John Ryland,NJ073,,,Bohemia,,,,,MPA-49-3-BohemiaDayBook-1790-1870.json
,,,Unknown,1831,sale,,Mulledy writes to Kenney twice about the sale of “wicked slaves” – executed by July 1832,letter,,,,,,,,,Bohemia,Thomas Mulledy,J028,,,Mulledy-1-4d-Kenney-Mulledy-1832-07-16.json
,,,Unknown,1824-01-01,sale,,notes old debt still owed for sale of negroes from Bohemia,account book,,,,$320.00,,,,,Bohemia,Adam Marshall,J041,,,MPA-60-7-Marshall-GeneralFundFinancialRpt-1824-01-01.json
1438,5027,,Kate,1799-10-09,Sale authorization,,,Proceedings,,,,,parent of ,5028,parent of ,5029,Bohemia,Francis Beestow,J016,,,"""C:\Users\sharonmleon\Dropbox\JPPDigital\MPA-23-10-CorpRCCProceedings-1799-10-09.json"""
1971,5028,,Kate's child 1,1799-10-09,Sale authorization,,,Proceedings,,,,,child of Kate,5027,,,Bohemia,Francis Beestow,J016,,,"""C:\Users\sharonmleon\Dropbox\JPPDigital\MPA-23-10-CorpRCCProceedings-1799-10-09.json"""
1972,5029,,Kate's child 2,1799-10-09,Sale authorization,,,Proceedings,,,,,child of Kate,5027,,,Bohemia,Francis Beestow,J016,,,"""C:\Users\sharonmleon\Dropbox\JPPDigital\MPA-23-10-CorpRCCProceedings-1799-10-09.json"""
1973,5030,,Woman,1813-09-14,Sale authorization,,,Proceedings,,,,,parent of ,5031,,,Bohemia,John Carroll,J006,,,"""C:\Users\sharonmleon\Dropbox\JPPDigital\MPA-24-1-ProceedingsoftheCorporationVol1-1813-09-14.json"""
1974,5031,,Her child,1813-09-14,Sale authorization,,,Proceedings,,,,,child of  ,5030,,,Bohemia,John Carroll,J006,,,"""C:\Users\sharonmleon\Dropbox\JPPDigital\MPA-24-1-ProceedingsoftheCorporationVol1-1813-09-14.json"""
1975,5033,,Jacob,1832*,sale planning,,,account book,,,,$250.00,,,,,Bohemia,Joseph Marshall,J045,,,MPA-30-5-UndatedUnsignedBohemiaAccount.json
1976,5034,,Jim,1832*,sale planning,,,account book,,,,$250.00,,,,,Bohemia,Joseph Marshall,J045,,,MPA-30-5-UndatedUnsignedBohemiaAccount.json
1977,5035,,Tom,1832*,sale planning,,,account book,,,,$250.00,,,,,Bohemia,Joseph Marshall,J045,,,MPA-30-5-UndatedUnsignedBohemiaAccount.json
1978,5036,,Jerry,1832*,sale planning,,,account book,,,,$150.00,,,,,Bohemia,Joseph Marshall,J045,,,MPA-30-5-UndatedUnsignedBohemiaAccount.json
1979,5037,,Bill ,1832*,sale planning,,,account book,,,,$150.00,,,,,Bohemia,Joseph Marshall,J045,,,MPA-30-5-UndatedUnsignedBohemiaAccount.json
1980,5038,,Little Girl,1832*,sale planning,,given to support the old,account book,10,,,,,,,,Bohemia,,,,,MPA-30-5-UndatedUnsignedBohemiaAccount.json
1689,5059,,Dick ,1796-07-01,travel,,granted leave to travel,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1996,5077,,Davis,1796-07-01,travel,,granted leave to travel,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1997,5078,,Pady,1796-07-01,travel,,granted leave to travel (could be Patrick 5068),account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1697,5080,,Suky,1797-11-01,travel,,Sent several provisions to Baltimore. Suky went up there with them,letter,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
2078,5026,,Peg,1799-10-09,work assignment,,assigned to seminary,Proceedings,,,,,,,,,Bohemia,,,,,"""C:\Users\sharonmleon\Dropbox\JPPDigital\MPA-23-10-CorpRCCProceedings-1799-10-09.json"""
1691,5062,,Jack,1799-10-09,work assignment,,assigned to seminary,Proceedings,,,,,,,,,Bohemia,,,,,"""C:\Users\sharonmleon\Dropbox\JPPDigital\MPA-23-10-CorpRCCProceedings-1799-10-09.json"""
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
